model,best_params,accuracy,recall,precision,f1,roc_auc
Bagging,"{'max_samples': 0.9, 'n_estimators': 200}",0.993,0.8235294117647058,0.9655172413793104,0.8888888888888888,0.9704930885397638
Gradient Boosting,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",0.993,0.7941176470588235,1.0,0.8852459016393442,0.9708280051150895
Random Forest,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.9915,0.8235294117647058,0.9180327868852459,0.8682170542635659,0.9719393192059433
XGBoost,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100, 'scale_pos_weight': 1}",0.991,0.7941176470588235,0.9310344827586207,0.8571428571428571,0.9909039702837658
Decision Tree,"{'criterion': 'entropy', 'max_depth': None}",0.9855,0.7941176470588235,0.782608695652174,0.7883211678832117,0.893176835951772
AdaBoost,"{'learning_rate': 1.0, 'n_estimators': 200}",0.9795,0.45588235294117646,0.8857142857142857,0.6019417475728155,0.9688527584947022
